id,v_idle_cxzt,n_cxzt,v_idle_status,n_status
G187547,3.541,44,3.54,473
G226122,3.438,44,3.44,483
G304307,3.453,44,3.45,480
G306088,3.537,43,3.54,479
G306161,3.652,43,3.65,479
G312243,3.441,43,3.44,481
G312268,3.748,44,3.75,472
G312292,3.699,44,3.7,479
G312300,3.6,44,3.6,480
G312326,3.531,44,3.53,483
G312334,3.569,44,3.57,484
G312342,3.639,44,3.64,477
G312359,3.409,43,3.41,476
G334023,3.5,44,3.5,475
G334189,3.564,44,3.56,483
G341846,3.54,44,3.54,472
G341887,3.6415,44,3.64,476
G347082,3.532,44,3.53,477
G348635,3.678,44,3.68,481
G370498,3.509,44,3.51,480
G370589,3.647,43,3.65,476
G370977,3.544,44,3.54,476
G371074,3.553,44,3.55,480
G371116,3.62,44,3.62,478
G375349,3.584,43,3.58,482
G375356,3.5765,44,3.58,471
G375372,3.581,44,3.58,482
G375430,3.675,43,3.67,473
G375539,3.698,43,3.7,476
G375547,3.723,43,3.72,477
G375562,3.689,43,3.69,470
G378517,3.7035,44,3.7,478
G378657,3.658,43,3.66,480
G378723,3.342,43,3.34,483
G378830,3.533,43,3.53,478
G378848,3.5965,44,3.6,473
G380521,3.603,44,3.6,481
G388862,3.6735,44,3.67,482
G388920,3.576,43,3.58,476
G594715,3.5245,44,3.52,475
G623050,3.53,44,3.53,477
